Name,Local authority,Zone,Opening,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,POP-Density-1841,POP-Density-1851,POP-Density-1861,POP-Density-1871,POP-Density-1881,POP-Density-1891,POP-Density-1901,POP-Density-1911,POP-Density-1921,POP-Density-1931,POP-Density-1941,POP-Density-1951,POP-Density-1961,POP-Density-1971,POP-Density-1981,POP-Density-1991,POP-Density-2001,Distance to City of London (miles),"North of Thames [1,0]",NorthDistance,SouthDistance,Areasqkm,ID-Rail,CumulativeRailStationsAtDate,ID-Tube,CumulativeTubeStationsAtDate,PopDensityAtDate,PopDensRank1841
Upper Holloway railway station,Islington,2,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,31,7,6,2,17901,4
Haverstock Hill railway station,Camden,,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,31,12,6,4,13826,5
Merton Abbey railway station,Merton,,1868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,31,6,6,0,375,23
Canonbury railway station,Islington,2,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,32,8,7,2,17901,4
Gunnersbury railway station,Hounslow,3,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,32,8,7,0,588,16
Norbiton railway station,Kingston,5,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,32,4,7,0,533,17
Walthamstow Central railway station,Waltham Forest,3,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,32,1,7,0,583,19
Waterloo East railway station,Lambeth,1,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,32,10,7,0,7616,7
West Brompton station,Kensington and Chelsea,2,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859,5720,5720,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,32,3,7,9,10621,8
Mildmay Park railway station,Hackney,,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,32,8,7,0,9044,9
Shepherds Bush railway station,Hammersmith and Fulham,,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,1830,1830,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,32,4,7,2,3510,10
Uxbridge Road,Hammersmith and Fulham,,1869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,1830,1830,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,32,4,7,2,3510,10
Camden Road railway station,Camden,2,1870,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,33,13,8,4,13826,5
Kew Gardens railway station,Richmond,3,1870,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,33,8,8,0,700,15
St James Street railway station,Waltham Forest,3,1870,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,33,2,8,0,583,19
Brockley railway station,Lewisham,2?,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,34,14,9,0,3196,11
Grove Park station,Lewisham,4,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,34,14,9,0,3196,11
Palmers Green railway station,Enfield,4,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,34,6,9,0,423,20
South Tottenham railway station,Haringey,3,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,34,6,9,1,2046,18
West Ealing railway station,Ealing,3,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,34,6,9,0,676,22
Winchmore Hill railway station,Enfield,4,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,34,6,9,0,423,20
Burdett Road railway station,Tower Hamlets,,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,34,13,9,0,24767,3
Millwall Docks railway station,Tower Hamlets,,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,34,13,9,0,24767,3
Millwall Junction railway station,Tower Hamlets,,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,34,13,9,0,24767,3
South Dock railway station,Tower Hamlets,,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,34,13,9,0,24767,3
Woodside railway station,Croydon,,1871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,34,11,9,0,723,21
Bethnal Green railway station,Tower Hamlets,2,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,35,17,10,0,24767,3
Cambridge Heath railway station,Tower Hamlets,2,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,35,17,10,0,24767,3
Edmonton Green railway station,Enfield,,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,35,8,10,0,423,20
Hackney Downs railway station,Hackney,2,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,35,11,10,0,13107,9
Highbury & Islington station,Islington,2,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,35,9,10,2,21395,4
Manor Park railway station,Newham,3,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,35,9,10,0,3143,14
Rectory Road railway station,Hackney,2,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,35,11,10,0,13107,9
Seven Sisters railway station,Haringey,3,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,35,8,10,1,2046,18
Silver Street railway station,Enfield,,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,35,8,10,0,423,20
Stoke Newington railway station,Hackney,2,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,35,11,10,0,13107,9
White Hart Lane railway station,Haringey,3,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,35,8,10,1,2046,18
North Greenwich railway station,Tower Hamlets,,1872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,35,17,10,0,24767,3
Alexandra Palace railway station,Haringey,3,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,36,11,10,1,2046,18
Clapton railway station,Hackney,2,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,36,12,10,0,13107,9
Highams Park railway station,Waltham Forest,,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,36,4,10,0,889,19
Kensal Rise railway station,Brent,2,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,36,4,10,0,552,29
Maze Hill railway station,Greenwich,3,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,36,9,10,0,2057,12
Oakleigh Park railway station,Barnet,4,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,36,7,10,6,370,27
Strawberry Hill railway station,Richmond,,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,36,9,10,0,899,15
Wood Street railway station,Waltham Forest,4,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,36,4,10,0,889,19
Alexandra Palace railway station,Haringey,,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,36,11,10,1,2046,18
Muswell Hill railway station,Haringey,,1873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,36,11,10,1,2046,18
Liverpool Street station,City of London,1,1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,37,10,11,8,32085,1
Maryland railway station,Newham,3,1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,37,12,11,0,3143,14
Beckton railway station,Newham,2,1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,37,12,11,0,3143,14
Holborn Viaduct station,City of London,,1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,37,10,11,8,32085,1
Manor Way railway station,Newham,,1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,37,12,11,0,3143,14
Snow Hill railway station,City of London,,1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,37,10,11,8,32085,1
Knockholt railway station,Bromley,6,1876,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,38,19,11,0,327,32
St Margarets (London) railway station,Richmond,4,1876,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,38,10,11,0,899,15
Queenstown Road (Battersea) railway station,Wandsworth,2,1877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,39,8,12,0,3470,13
Leman Street railway station,Tower Hamlets,,1877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,39,18,12,0,24767,3
Bromley North railway station,Bromley,,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,40,21,12,0,327,32
New Eltham railway station,Greenwich,4,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,40,10,12,0,2057,12
Norbury railway station,Croydon,3,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,40,12,12,0,723,21
Sundridge Park railway station,Bromley,,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,40,21,12,0,327,32
Noel Park and Wood Green railway station,Haringey,,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,40,14,12,1,2046,18
Palace Gates (Wood Green) railway station (closed 1963),Haringey,,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,40,14,12,1,2046,18
West Green railway station,Haringey,,1878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,40,14,12,1,2046,18
Queen's Park station,Brent,2,1879,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,41,5,13,2,552,29
South Hampstead railway station,Camden,2,1879,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,41,14,13,7,15258,5
Westcombe Park railway station,Greenwich,3,1879,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,41,11,13,0,2057,12
Bowes Park railway station,Haringey,3,1880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,42,16,14,1,2046,18
Bush Hill Park railway station,Enfield,5,1880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,42,9,14,0,423,20
Harringay Green Lanes railway station,Haringey,3,1880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,42,16,14,1,2046,18
Harrow-on-the-Hill station,Harrow,5,1880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,118,118,147,176,204,242,449,833,1277,1955,2905,4316,4169,4028,3886,4037,15,1,15,0,50,42,3,14,1,176,30
South Acton railway station,Ealing,3,1880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,42,7,14,4,676,22
Stroud Green railway station,Haringey,,1881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,43,17,14,1,2921,18
Eden Park railway station,Bromley,,1882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,44,24,15,0,433,32
Hayes railway station,Bromley,5,1882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,44,24,15,0,433,32
West Wickham railway station,Bromley,5,1882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,44,24,15,0,433,32
St. Ann's Road railway station,Haringey,,1882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,44,18,15,1,2921,18
Brimsdown railway station,Enfield,5,1884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,45,10,16,0,520,20
Earlsfield railway station,Wandsworth,3,1884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,45,8,16,0,4764,13
Kent House railway station,Bromley,4,1884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,45,25,16,0,433,32
Sanderstead railway station,Croydon,6,1884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,45,13,16,0,958,21
Globe Road railway station,Tower Hamlets,2,1884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,45,19,16,10,28791,3
Hadley Wood railway station,Enfield,6,1885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,46,11,17,0,520,20
Upminster station,Havering,6,1885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,102,102,114,127,139,170,221,289,443,678,1063,1666,1919,2210,2136,2071,18,1,18,0,112,46,4,17,2,139,33
Bingham Road railway station,Croydon,,1885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,46,16,17,0,958,21
Selsdon railway station,Croydon,,1885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,46,16,17,0,958,21
Spencer Road railway station,Croydon,,1885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,46,16,17,0,958,21
Blackfriars station,City of London,1,1886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,47,11,17,11,22602,1
Honor Oak Park railway station,Lewisham,,1886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,47,15,17,2,4202,11
Gallions railway station,Newham,,1886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,47,13,17,1,4371,14
West Hampstead railway station,Camden,2,1888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,48,15,18,7,16689,5
Coulsdon South railway station,Croydon,6,1889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,49,17,19,0,958,21
Southbury railway station,Enfield,,1891,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,50,13,20,0,834,20
Turkey Street railway station,Enfield,6,1891,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,50,13,20,0,834,20
Beckenham Hill railway station,Lewisham,4,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,51,19,21,2,4928,11
Bellingham railway station,Lewisham,3,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,51,19,21,2,4928,11
Catford railway station,Lewisham,3,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,51,19,21,2,4928,11
Crofton Park railway station,Lewisham,,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,51,19,21,2,4928,11
Emerson Park railway station,Havering,6,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95,102,102,114,127,139,170,221,289,443,678,1063,1666,1919,2210,2136,2071,18,1,18,0,112,51,5,21,2,170,33
Ravensbourne railway station,Bromley,4,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,51,26,21,0,564,32
Bow Road railway station,Tower Hamlets,,1892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,51,20,21,10,29587,3
Leyton Midland Road railway station,Waltham Forest,3,1894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,52,7,22,0,2394,19
Leytonstone High Road railway station,Waltham Forest,3,1894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,52,7,22,0,2394,19
Walthamstow Queens Road railway station,Waltham Forest,3,1894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,253,277,277,583,889,1195,2394,3971,6586,6893,7215,7063,6914,6471,6057,5528,5606,12,1,12,0,39,52,7,22,0,2394,19
Wanstead Park railway station,Newham,3,1894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,52,15,22,1,7155,14
Woodgrange Park railway station,Newham,3,1894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,52,15,22,1,7155,14
